Code ,Company Name,Market Segment,Industry,Fiscal Year End
19420,"KANDENKO CO.,LTD.",Prime,Construction,March
19440,KINDEN CORPORATION,Prime,Construction,March
19450,TOKYO ENERGY & SYSTEMS INC.,Prime,Construction,March
19460,TOENEC CORPORATION,Prime,Construction,March
19480,"The Kodensha,Co.,Ltd.",Standard,Construction,March
19490,"SUMITOMO DENSETSU CO.,LTD.",Prime,Construction,March
19500,"NIPPON DENSETSU KOGYO CO.,LTD.",Prime,Construction,March
19510,"EXEO Group,Inc.",Prime,Construction,March
19520,"Shin Nippon Air Technologies Co.,Ltd.",Prime,Construction,March
19590,KYUDENKO CORPORATION,Prime,Construction,March
19600,Sanyo Engineering & Construction Inc.,Standard,Construction,March
19610,"SANKI ENGINEERING CO.,LTD.",Prime,Construction,March
19630,JGC HOLDINGS CORPORATION,Prime,Construction,March
19640,"Chugai Ro Co.,Ltd.",Prime,Construction,March
19650,TECHNO RYOWA LTD.,Standard,Construction,March
19660,TAKADA CORPORATION,Standard,Construction,March
19670,YAMATO CORPORATION,Standard,Construction,March
19680,"TAIHEI DENGYO KAISHA,LTD.",Prime,Construction,March
19690,"Takasago Thermal Engineering Co.,Ltd.",Prime,Construction,March
19710,"CHUO BUILD INDUSTRY CO.,LTD.",Standard,Metal Products,March
19720,"SANKO METAL INDUSTRIAL CO.,LTD.",Standard,Construction,March
19730,NEC Networks & System Integration Corporation,Prime,Information & Communication,March
19750,"ASAHI KOGYOSHA CO.,LTD.",Prime,Construction,March
19760,"MEISEI INDUSTRIAL Co.,Ltd.",Prime,Construction,March
19790,Taikisha Ltd.,Prime,Construction,March
19800,"DAI-DAN CO.,LTD.",Prime,Construction,March
19810,"KYOWANISSEI CO.,LTD.",Standard,Construction,March
19820,"Hibiya Engineering,Ltd.",Prime,Construction,March
19920,"KANDA TSUSHINKI CO.,LTD.",Standard,Construction,March
19940,TAKAHASHI CURTAIN WALL CORPORATION,Standard,Construction,December
19970,"AKATSUKI EAZIMA CO.,LTD.",Standard,Construction,August
20010,NIPPN CORPORATION,Prime,Foods,March
20020,NISSHIN SEIFUN GROUP INC.,Prime,Foods,March
20030,"NITTO FUJI FLOUR MILLING CO.,LTD.",Standard,Foods,March
20040,"Showa Sangyo Co.,Ltd.",Prime,Foods,March
20090,"THE TORIGOE CO.,LTD.",Standard,Foods,December
20530,"CHUBU SHIRYO CO.,LTD.",Prime,Foods,March
20550,"NICHIWA SANGYO CO.,LTD.",Standard,Foods,March
20600,"FEED ONE CO.,LTD.",Prime,Foods,March
21070,"Toyo Sugar Refining Co.,Ltd.",Standard,Foods,March
21080,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Prime,Foods,March
21090,"Mitsui DM Sugar Holdings Co.,Ltd.",Prime,Foods,March
21120,"Ensuiko Sugar Refining Co.,Ltd.",Standard,Foods,March
21140,Fuji Nihon Seito Corporation,Standard,Foods,March
21170,"WELLNEO SUGAR Co.,Ltd.",Prime,Foods,March
21200,"LIFULL Co.,Ltd.",Prime,Services,September
21210,"MIXI,Inc.",Prime,Services,March
21220,"Interspace Co.,Ltd.",Standard,Services,September
21240,"JAC Recruitment Co.,Ltd.",Prime,Services,December
21270,Nihon M&A Center Holdings Inc.,Prime,Services,March
21300,"Members Co.,Ltd.",Prime,Services,March
21340,Sun Capital Management Corp.,Standard,Services,March
21360,HIP CORPORATION,Standard,Services,March
21380,"CROOZ,Inc.",Standard,Information & Communication,March
21390,"CHUCO CO.,LTD.",Standard,Services,March
21460,"UT Group Co.,Ltd.",Prime,Services,March
21480,ITmedia Inc.,Prime,Services,March
21500,"CareNet,Inc.",Growth,Services,December
,,,,
,,,,
,,,,
21520,Youji Corporation,Standard,Services,March
21530,E・J Holdings Inc.,Prime,Services,May
21540,Open Up Group Inc.,Prime,Services,June
21560,SAYLOR ADVERTISING INC.,Standard,Services,March
21570,"KOSHIDAKA HOLDINGS Co.,LTD.",Prime,Services,August
21580,"FRONTEO,Inc.",Growth,Services,March
21600,GNI Group Ltd.,Growth,Pharmaceutical,December
21620,nms Holdings Corporation,Standard,Services,March
21630,"ARTNER CO.,LTD.",Prime,Services,January
21640,"CHIIKISHINBUNSHA CO.,LTD.",Growth,Services,August
21680,Pasona Group Inc.,Prime,Services,May
21690,"CDS Co.,Ltd.",Standard,Services,December
21700,Link and Motivation Inc.,Prime,Services,December
21730,Hakuten Corporation,Growth,Services,December
21750,"SMS CO.,LTD.",Prime,Services,March
21790,"SEIGAKUSHA CO.,LTD.",Standard,Services,March
21800,SUNNY SIDE UP GROUP Inc.,Prime,Services,June
21810,"PERSOL HOLDINGS CO.,LTD.",Prime,Services,March
21830,"Linical Co.,Ltd.",Prime,Services,March
21850,CMC CORPORATION,Standard,Services,September
21860,Sobal Corporation,Standard,Services,February
21930,Cookpad Inc.,Standard,Services,December
21950,"AMITA HOLDINGS CO.,LTD.",Growth,Services,December
21960,ESCRIT INC.,Prime,Services,March
21980,IKK Holdings Inc.,Prime,Services,October
22010,"Morinaga & Co.,Ltd.",Prime,Foods,March
22040,"NAKAMURAYA CO.,LTD.",Prime,Foods,March
22060,"Ezaki Glico Co.,Ltd.",Prime,Foods,December
22070,"Meito Sangyo Co.,Ltd.",Prime,Foods,March
22080,BOURBON CORPORATION,Standard,Foods,March
22090,"IMURAYA GROUP CO.,LTD.",Prime,Foods,March
22110,"Fujiya Co.,Ltd.",Prime,Foods,December
22120,"YAMAZAKI BAKING CO.,LTD.",Prime,Foods,December
22150,"FIRST BAKING CO.,LTD.",Standard,Foods,December
22160,Kanro Inc.,Standard,Foods,December
22170,Morozoff Limited,Prime,Foods,January
22200,"KAMEDA SEIKA CO.,LTD.",Prime,Foods,March
22210,"IWATSUKA CONFECTIONERY CO.,LTD.",Standard,Foods,March
22220,"Kotobuki Spirits Co.,Ltd.",Prime,Foods,March
22240,"COMO CO.,LTD.",Standard,Foods,March
22260,KOIKE-YA Inc.,Standard,Foods,March
22290,"CALBEE,Inc.",Prime,Foods,March
22640,"MORINAGA MILK INDUSTRY CO.,LTD.",Prime,Foods,March
22660,"ROKKO BUTTER CO.,LTD.",Prime,Foods,December
22670,"YAKULT HONSHA CO.,LTD.",Prime,Foods,March
22680,"B-R 31 ICE CREAM CO.,LTD.",Standard,Foods,December
22690,"Meiji Holdings Co.,Ltd.",Prime,Foods,March
22700,"MEGMILK SNOW BRAND Co.,Ltd.",Prime,Foods,March
22810,"Prima Meat Packers,Ltd.",Prime,Foods,March
22820,NH Foods Ltd.,Prime,Foods,March
22860,"Hayashikane Sangyo Co.,Ltd.",Standard,Foods,March
22880,"MARUDAI FOOD CO.,LTD.",Prime,Foods,March
22910,"FUKUTOME MEAT PACKERS,LTD.",Standard,Foods,March
22920,S Foods Inc.,Prime,Foods,February
22930,"TAKIZAWA HAM CO.,LTD.",Standard,Foods,March
22940,"Kakiyasu Honten Co.,Ltd.",Prime,Foods,April
22960,ITOHAM YONEKYU HOLDINGS INC.,Prime,Foods,March
23000,"Kyokuto Co.,Ltd.",Standard,Services,February
23010,"GAKUJO CO.,Ltd.",Prime,Services,October
23030,Dawn Corporation,Standard,Information & Communication,May
23040,"CSS HOLDINGS,LTD.",Standard,Services,September
23050,"STUDIO ALICE Co.,Ltd.",Prime,Services,February
23070,"CROSS CAT CO.,LTD.",Prime,Information & Communication,March
23090,"CMIC HOLDINGS Co.,Ltd.",Prime,Services,September
23110,"EPCO Co.,Ltd.",Prime,Services,December
23150,CAICA DIGITAL Inc.,Standard,Information & Communication,October
23170,Systena Corporation,Prime,Information & Communication,March
23210,Softfront Holdings,Growth,Information & Communication,March
23230,fonfun corporation,Standard,Information & Communication,March
23250,"NJS Co.,Ltd.",Prime,Services,December
23260,Digital Arts Inc.,Prime,Information & Communication,March
23270,NS Solutions Corporation,Prime,Information & Communication,March
23290,TOHOKUSHINSHA FILM CORPORATION,Standard,Information & Communication,March
23300,"Forside Co.,Ltd.",Standard,Information & Communication,December
23310,"SOHGO SECURITY SERVICES CO.,LTD.",Prime,Services,March
23320,"Quest Co.,Ltd.",Standard,Information & Communication,March
23340,eole Inc.,Growth,Services,March
23350,CUBE SYSTEM INC.,Prime,Information & Communication,March
23370,Ichigo Inc.,Prime,Real Estate,February
23380,"Quantum Solutions Co.,Ltd.",Standard,Information & Communication,February
23400,"GOKURAKUYU HOLDINGS CO.,LTD.",Standard,Services,March
23410,"ARBEIT-TIMES CO.,LTD.",Standard,Services,February
23420,TRANS GENIC INC.,Growth,Services,March
23440,"HEIAN CEREMONY SERVICE CO.,LTD.",Standard,Services,March
23450,"Kushim,Inc.",Standard,Information & Communication,October
23490,"Nippon Information Development Co.,Ltd.",Standard,Information & Communication,March
23510,ASJ INC.,Growth,Information & Communication,March
23530,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",Prime,Real Estate,July
23540,YE DIGITAL Corporation,Standard,Information & Communication,February
23590,CORE CORPORATION,Prime,Information & Communication,March
23700,"MEDINET Co.,Ltd.",Growth,Services,September
23710,"Kakaku.com,Inc.",Prime,Services,March
23720,"I'rom Group Co.,Ltd.",Prime,Services,March
23730,CARE TWENTYONE CORPORATION,Standard,Services,October
23740,SAINT-CARE HOLDING CORPORATION,Prime,Services,March
23750,GiG Works Inc.,Standard,Services,October
23760,SCINEX CORPORATION,Standard,Services,March
23780,"RENAISSANCE,INCORPORATED",Prime,Services,March
23790,dip Corporation,Prime,Services,February
23840,"SBS Holdings,Inc.",Prime,Land Transportation,December
23850,Soiken Holdings Inc.,Growth,Services,June
23880,"Wedge Holdings CO.,LTD.",Growth,Other Financing Business,September
23890,"DIGITAL HOLDINGS,INC.",Prime,Services,December
23910,"PLANET,INC.",Standard,Services,July
23930,"Nippon Care Supply Co.,Ltd.",Standard,Services,March
23950,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Prime,Services,March
23970,DNA Chip Research Inc.,Standard,Services,March
24020,amana inc.,Growth,Services,December
24040,TETSUJIN Inc.,Standard,Services,August
24080,"KG Intelligence CO.,LTD.",Standard,Services,December
24100,"CAREER DESIGN CENTER CO.,LTD.",Prime,Services,September
24110,GENDAI AGENCY INC.,Standard,Information & Communication,March
24120,Benefit One Inc.,Prime,Services,March
24130,"M3,Inc.",Prime,Services,March
24150,"Human Holdings Co.,Ltd.",Standard,Services,March
24180,TSUKADA GLOBAL HOLDINGS Inc.,Prime,Services,December
24240,Brass Corporation,Prime,Services,July
24250,"Care Service Co.,Ltd.",Standard,Services,March
24270,OUTSOURCING Inc.,Prime,Services,December
24280,WELLNET CORPORATION,Prime,Services,June
24290,"WORLD HOLDINGS CO.,LTD.",Prime,Services,December
24320,"DeNA Co.,Ltd.",Prime,Services,March
24330,HAKUHODO DY HOLDINGS INCORPORATED,Prime,Services,March
24350,"CEDAR.Co.,Ltd",Standard,Services,March
24360,"KYODO PUBLIC RELATIONS CO.,LTD.",Standard,Services,December
24370,"SHINWA WISE HOLDINGS CO.,LTD.",Standard,Services,May
24380,"Asukanet Company,Limited",Growth,Services,April
24400,"Gurunavi,Inc.",Prime,Services,March
24450,"Takamiya Co.,Ltd.",Prime,Services,March
24490,"PRAP Japan,Inc.",Standard,Services,August
24520,"Computer Mind Co.,Ltd.",TOKYO PRO Market,Information & Communication,March
24530,"Japan Best Rescue System Co.,Ltd.",Prime,Services,September
24540,"All About,Inc.",Standard,Services,March
24590,"AUN CONSULTING,Inc.",Standard,Services,May
24610,"FAN Communications,Inc.",Prime,Services,December
24620,"LIKE,Inc.",Prime,Services,May
24640,"BUSINESS BREAKTHROUGH,INC.",Prime,Services,March
24680,"FueTrek Co.,Ltd.",Standard,Services,March
24690,Hibino Corporation,Standard,Services,March
24710,"S-Pool,Inc.",Prime,Services,November
24750,"WDB HOLDINGS CO.,LTD.",Prime,Services,March
24770,"Temairazu,Inc.",Prime,Information & Communication,June
24790,JTEC CORPORATION,Growth,Services,March
24800,"System Location Co.,Ltd.",Standard,Information & Communication,March
24810,"TOWNNEWS-SHA CO.,LTD.",Standard,Services,June
24830,HONYAKU Center Inc.,Standard,Services,March
24840,"DEMAE-CAN CO.,LTD",Standard,Information & Communication,August
24850,TEAR Corporation,Standard,Services,September
24870,"CDG Co.,Ltd.",Standard,Services,December
24880,"JTP CO.,LTD.",Standard,Services,March
24890,Adways Inc.,Prime,Services,December
24910,"ValueCommerce Co.,Ltd.",Prime,Services,December
24920,Infomart Corporation,Prime,Services,December
24930,"E-SUPPORTLINK,Ltd.",Standard,Services,November
24970,"UNITED,Inc.",Growth,Services,March
24980,Oriental Consultants Holdings Company Limited,Standard,Services,September
24990,"NIHONWASOU HOLDINGS,INC.",Standard,Services,December
25010,SAPPORO HOLDINGS LIMITED,Prime,Foods,December
25020,"Asahi Group Holdings,Ltd.",Prime,Foods,December
25030,"Kirin Holdings Company,Limited",Prime,Foods,December
25310,TAKARA HOLDINGS INC.,Prime,Foods,March
25330,"Oenon Holdings,Inc.",Prime,Foods,December
25400,"YOMEISHU SEIZO CO.,LTD.",Prime,Foods,March
25730,"HOKKAIDO COCA-COLA BOTTLING CO.,LTD.",Standard,Foods,December
25790,Coca-Cola Bottlers Japan Holdings Inc.,Prime,Foods,December
25850,"LIFEDRINK COMPANY,INC.",Prime,Foods,March
25860,FRUTA FRUTA INC.,Growth,Foods,March
25870,Suntory Beverage & Food Limited,Prime,Foods,December
25880,"Premium Water Holdings,Inc.",Standard,Foods,March
25900,"DyDo GROUP HOLDINGS,INC.",Prime,Foods,January
25930,"ITO EN,LTD.",Prime,Foods,April
25940,KEY COFFEE INC,Prime,Foods,March
25970,UNICAFE INC.,Standard,Foods,December
25990,"JAPAN FOODS CO.,LTD.",Standard,Foods,March
26020,"The Nisshin OilliO Group,Ltd.",Prime,Foods,March
26070,FUJI OIL HOLDINGS INC.,Prime,Foods,March
26120,KADOYA SESAME MILLS INCORPORATED,Standard,Foods,March
26130,"J-OIL MILLS, INC.",Prime,Foods,March
26510,"Lawson,Inc.",Prime,Retail Trade,February
26520,MANDARAKE INC.,Standard,Retail Trade,September
26530,"AEON KYUSHU CO.,LTD.",Standard,Retail Trade,February
26540,ASMO CORPORATION,Standard,Retail Trade,March
26560,Vector HOLDINGS Inc.,Standard,Retail Trade,March
26590,"SAN-A CO.,LTD.",Prime,Retail Trade,February
26640,CAWACHI LIMITED,Prime,Retail Trade,March
26660,"AUTOWAVE Co.,Ltd.",Standard,Retail Trade,March
26670,"ImageONE Co.,Ltd.",Standard,Wholesale Trade,September
26680,Tabio Corporation,Standard,Wholesale Trade,February
26690,"Kanemi Co.,Ltd.",Standard,Retail Trade,February
26700,"ABC-MART,INC.",Prime,Retail Trade,February
26730,"YUMEMITSUKETAI Co.,Ltd.",Standard,Retail Trade,March
26740,"HARD OFF CORPORATION Co.,Ltd.",Prime,Retail Trade,March
26760,"TAKACHIHO KOHEKI CO.,LTD.",Prime,Wholesale Trade,March
26780,ASKUL Corporation,Prime,Retail Trade,May
26810,GEO HOLDINGS CORPORATION,Prime,Retail Trade,March
26830,"UOKI CO.,LTD.",Standard,Retail Trade,February
26850,"Adastria Co.,Ltd.",Prime,Retail Trade,February
26860,"GFOOT CO.,LTD.",Standard,Retail Trade,February
26870,CVS Bay Area Inc.,Standard,Retail Trade,February
26890,"OLBA HEALTHCARE HOLDINGS,Inc.",Standard,Wholesale Trade,June
,,,,
,,,,
,,,,
26920,"ITOCHU-SHOKUHIN Co.,Ltd.",Prime,Wholesale Trade,March
26930,YKT CORPORATION,Standard,Wholesale Trade,December
26940,Yakiniku Sakai Holdings Inc.,Standard,Retail Trade,March
26950,"Kura Sushi,Inc.",Prime,Retail Trade,October
26980,"CAN DO CO.,LTD.",Standard,Retail Trade,February
27000,"KITOKU SHINRYO CO.,LTD.",Standard,Wholesale Trade,December
27020,"McDonald's Holdings Company(Japan),Ltd.",Standard,Retail Trade,December
27050,"OOTOYA Holdings Co.,Ltd.",Standard,Retail Trade,March
27060,"BROCCOLI Co.,Ltd.",Standard,Other Products,February
27080,"KUZE CO.,LTD.",Standard,Wholesale Trade,March
27150,Elematec Corporation,Prime,Wholesale Trade,March
27210,J-Holdings Corp.,Standard,Wholesale Trade,December
27220,"IK HOLDINGS Co.,Ltd.",Prime,Retail Trade,May
27260,"PAL GROUP Holdings CO.,LTD",Prime,Retail Trade,February
27300,EDION Corporation,Prime,Retail Trade,March
27330,ARATA CORPORATION,Prime,Wholesale Trade,March
27340,SALA CORPORATION,Prime,Retail Trade,November
27350,"WATTS CO.,LTD.",Prime,Retail Trade,August
27360,"Festaria Holdings Co.,Ltd.",Standard,Retail Trade,August
27370,TOMEN DEVICES CORPORATION,Prime,Wholesale Trade,March
27420,"HALOWS CO.,LTD.",Prime,Retail Trade,February
27430,PIXEL COMPANYZ INC.,Standard,Wholesale Trade,December
