Code.T,Company Name,Market Segment,Industry,Fiscal Year End
1888.T,"WAKACHIKU CONSTRUCTION CO.,LTD.",Prime,Construction,March
1890.T,"TOYO CONSTRUCTION CO.,LTD.",Prime,Construction,March
1893.T,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Prime,Construction,March
1897.T,"The Kaneshita Construction Co.,Ltd.",Standard,Construction,December
1898.T,"SEIKITOKYU KOGYO CO.,LTD.",Prime,Construction,March
1899.T,FUKUDA CORPORATION,Prime,Construction,December
1904.T,"TAISEI ONCHO CO.,LTD.",Standard,Construction,March
1905.T,TENOX CORPORATION,Standard,Construction,March
1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard,Machinery,March
1911.T,"Sumitomo Forestry Co.,Ltd.",Prime,Construction,December
1914.T,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Standard,Construction,March
1921.T,TOMOE CORPORATION,Standard,Construction,March
1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Prime,Construction,March
1926.T,"RAITO KOGYO CO.,LTD.",Prime,Construction,March
1928.T,"Sekisui House,Ltd.",Prime,Construction,January
1929.T,"NITTOC CONSTRUCTION CO.,LTD.",Prime,Construction,March
1930.T,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Prime,Construction,March
1934.T,YURTEC CORPORATION,Prime,Construction,March
1938.T,"NIPPON RIETEC CO.,LTD.",Prime,Construction,March
1939.T,YONDENKO CORPORATION,Prime,Construction,March
1941.T,CHUDENKO CORPORATION,Prime,Construction,March
1942.T,"KANDENKO CO.,LTD.",Prime,Construction,March
1944.T,KINDEN CORPORATION,Prime,Construction,March
1945.T,TOKYO ENERGY & SYSTEMS INC.,Prime,Construction,March
1946.T,TOENEC CORPORATION,Prime,Construction,March
1948.T,"The Kodensha,Co.,Ltd.",Standard,Construction,March
1949.T,"SUMITOMO DENSETSU CO.,LTD.",Prime,Construction,March
1950.T,"NIPPON DENSETSU KOGYO CO.,LTD.",Prime,Construction,March
1951.T,"EXEO Group,Inc.",Prime,Construction,March
1952.T,"Shin Nippon Air Technologies Co.,Ltd.",Prime,Construction,March
1959.T,KYUDENKO CORPORATION,Prime,Construction,March
1960.T,Sanyo Engineering & Construction Inc.,Standard,Construction,March
1961.T,"SANKI ENGINEERING CO.,LTD.",Prime,Construction,March
1963.T,JGC HOLDINGS CORPORATION,Prime,Construction,March
1964.T,"Chugai Ro Co.,Ltd.",Prime,Construction,March
1965.T,TECHNO RYOWA LTD.,Standard,Construction,March
1966.T,TAKADA CORPORATION,Standard,Construction,March
1967.T,YAMATO CORPORATION,Standard,Construction,March
1968.T,"TAIHEI DENGYO KAISHA,LTD.",Prime,Construction,March
1969.T,"Takasago Thermal Engineering Co.,Ltd.",Prime,Construction,March
